japanese,chinese,english,category
定期券（ていきけん）,定期票、月票、季票,Commuter Pass,Lesson 26
さまざま,各种,Various,Lesson 26
手段（しゅだん）,手段,Means,Lesson 26
蓄積（ちくせき）,存储，积累,Accumulation,Lesson 26
用いる（もちいる）,使用、利用,Used,Lesson 26
アタッチ,连接,Attach,Lesson 26
公開（こうかい）,公开,Public,Lesson 26
改変（かいへん）,改变,Modification,Lesson 26
書き込む（かきこむ）,写入,Write,Lesson 26
マシン,机器,Machine,Lesson 26
インストール,安装,Installation,Lesson 26
自解凍（じかいとう）,自解压,Self-Thawing,Lesson 26
パッケージ,包,Package,Lesson 26
稼動（かどう）,运行、劳动,Operating,Lesson 26
配置ファイル,配置文件,Placement File,Lesson 26
ハードディスク,硬盘,Hard Disk,Lesson 26
不正（ふせい）,非法,Fraud,Lesson 26
顧客（こきゃく）,顾客,Customers,Lesson 27
満足度（まんぞくど）,满意度,Satisfaction Level,Lesson 27
平素（へいそ）,平时,Heise,Lesson 27
格別（かくべつ）,特别,Exceptional,Lesson 27
誠に（まことに）,真的,Seriously,Lesson 27
貴社（きしゃ）,贵公司,Your Company,Lesson 27
一段落つく（いちだんらくつく）,告一段落,It'S Finished,Lesson 27
問（しつもん）,提问,Question,Lesson 27
幸甚（こうじん）,十分荣幸,Kojin,Lesson 27
貴重（きちょう）,贵重,A Precious,Lesson 27
理由（りゆう）,理由,Reason,Lesson 27
契約書（けいやくしょ）,合同书,Contract,Lesson 27
無償（むしょう）,无偿,Free,Lesson 27
保障（ほしょう）,保证,Guarantee,Lesson 27
前提（ぜんてい）,前提,Assumptions,Lesson 27
構わない（かまわない）,没有关系，介意,It'S Okay,Lesson 27
遠慮（えんりょ）,客气,Relaxed,Lesson 27
幸い（さいわい）,幸运,Luckily,Lesson 27
タイムリー,及时的、适时的、恰好的,Timely,Lesson 28
タイミング,时机,Timing,Lesson 28
対処（たいしょ）,处理、应付、对付,Solution,Lesson 28
リスク,风险,Risk,Lesson 28
スリル,惊险、刺激、紧张感,Thrill,Lesson 28
取り組む（とりくむ）,努力、专注,Working On,Lesson 28
恥をかく（はじをかく）,丢脸、出丑,Shame,Lesson 28
インターン,实习生,Intern,Lesson 28
プラスになる,有利,Beneficial,Lesson 28
こなす,处理、掌握,Handle,Lesson 28
活躍（かつやく）,活跃、活动,Working,Lesson 28
やる気（やるき）,干劲,Motivation,Lesson 28
置いていかれる（おいていかれる）,被搁置一旁,Left Behind,Lesson 28
ハキハキ,干脆、爽快,Clear,Lesson 28
コミュニケーション,沟通、交流,Communication,Lesson 28
大切（たいせつ）,重要；珍贵,Important,Lesson 28
モチベーション,积极性、动力,Motivation,Lesson 28
無愛想（ぶあいそう）,态度简慢、不和,Unfriendly,Lesson 28
発想（はっそう）,构思、主意,Ideas,Lesson 29
由来（ゆらい）,来历、由来,Origin,Lesson 29
一生懸命（いっしょうけんめい）,拼命地、努力地,Isshokenmei,Lesson 29
軽い（かるい）,轻微,Light,Lesson 29
度合い（どあい）,程度,Degree,Lesson 29
撲滅（ぼくめつ）,扑灭、消灭,Eradication,Lesson 29
見方（みかた）,见解、想法,Viewpoint,Lesson 29
外見（がいけん）,外观、外表,Appearance,Lesson 29
みすぼらしい,破旧、难看,Shabby,Lesson 29
身なり（みなり）,服饰、装束,Appearance,Lesson 29
町並み（まちなみ）,街道风貌,Townscape,Lesson 29
拘る（こだわる）,讲究、拘泥,Be Particular,Lesson 29
鷹揚（おうよう）,落落大方,Ooyou,Lesson 29
見栄え（みばえ）,美观,Appearance,Lesson 29
一方（いっぽう）,一个劲地、一直,Meanwhile,Lesson 29
次第（しだい）,缘由、经过,Depending,Lesson 29
納める（おさめる）,提交、收下,Submit,Lesson 29
専念（せんねん）,专心致志,Concentrate,Lesson 29
なだめる,劝解、安抚,Appease,Lesson 29
静める（しずめる）,使镇静,Squeal,Lesson 29
苛立つ（いらだつ）,焦躁、急不可待,Irritated,Lesson 29
失墜（しっつい）,失掉、丧失,Fallen,Lesson 29
個人プレー,单打独斗,Individual Play,Lesson 29
持論（じろん）,一贯主张,My Theory,Lesson 29
右往左往（うおうさおう）,不知所措,Uosaou,Lesson 29
最善（さいぜん）,最好、全力,Best,Lesson 29
滅ぼす（ほろぼす）,毁灭,Destroy,Lesson 29
及ばず（およばず）,达不到、不必,Not Enough,Lesson 29
惑わす（まどわす）,诱惑、扰乱,To Mislead,Lesson 29
折角（せっかく）,难得、好不容易,Finally,Lesson 29
チームワーク,团队合作,Team Work,Lesson 29
溶け込む（とけこむ）,融洽，溶入,Blend,Lesson 30
くれぐれも,反复、周到,Please,Lesson 30
総じて（そうじて）,概括地、一般地说来,Overall,Lesson 30
ののしる,咒骂,Curse,Lesson 30
先日（せんじつ）,前几天、上次,Recently,Lesson 30
名乗る（なのる）,自报姓名,Introduce,Lesson 30
極力（きょくりょく）,极力、尽力,Utmost,Lesson 30
些細（ささい）,琐碎、不重要,Minor,Lesson 30
〜振り（〜ぶり）,样子、经过,~Spend,Lesson 30
聞き取る（ききとる）,听见、听懂,Listen,Lesson 30
耐え忍ぶ（たえしのぶ）,忍受,Endure,Lesson 30
けんからん,下流、无耻,Vulgar,Lesson 30
あてる,充作、安排用途,Apply,Lesson 30
習得（しゅうとく）,学会、掌握,Learning,Lesson 30
貶す（けなす）,贬低,Demean,Lesson 30
バイト（アルバイト）,打工,Part-Time,Lesson 30
罵倒（ばとう）,大骂,Insults,Lesson 30
マスター,精通、熟练,Master,Lesson 30
乗用車（じょうようしゃ）,轿车,Passenger Car,Lesson 30
掲げる（かかげる）,悬挂,Display,Lesson 30
反物（たんもの）,绸缎,Fabric,Lesson 30
プレッシャー,压力,Pressure,Lesson 30
見かける（みかける）,偶然看到,See,Lesson 30
いい加減（いいかげん）,敷衍、马虎,Careless,Lesson 30
ルーズ,松懈、吊儿郎当,Loose,Lesson 30
お詫び（おわび）,道歉、赔不是,Apologies,Lesson 30
プロジェクト,项目,Project,Lesson 31
単体テスト,单元测试,Unit Test,Lesson 31
直近（ちょっきん）プロジェクト,最近项目,Latest Project,Lesson 31
デバッグ,调试,Debug,Lesson 31
ブラウザ,浏览器,Browser,Lesson 31
テストケース，テスト項目,测试点,Test Cases,Lesson 31
バックエンド,后端,Backend,Lesson 31
フロントエンド,前端,Front End,Lesson 31
テストコード,测试代码,Test Code,Lesson 31
引数、パラメータ,参数,Parameters,Lesson 31
関数,函数,Function,Lesson 31
定数,常量,Constant,Lesson 31
変数,变量,Variable,Lesson 31
戻り値,返回值,Return Value,Lesson 31
カラム,字段,Column,Lesson 31
データ型,数据类型,Data Type,Lesson 31
ジャバ, ,Java,Lesson 31
ジャバスクリプト, ,JavaScript,Lesson 31
タイプスクリプト, ,TypeScript,Lesson 31
スプリング,,Spring,Lesson 31
スプリングブート, ,SpringBoot,Lesson 31
マイバティス,,MyBatis,Lesson 31
タイムリーフ, ,Thymeleaf,Lesson 31
ビュー・ジェイエス, ,Vue.js,Lesson 31
オラクル, ,Oracle,Lesson 31
ポストグレエスキューエル, ,PostgreSQL,Lesson 31
マイエスキューエル, ,MySQL,Lesson 31
エスキューエル/シークェル, ,SQL,Lesson 31
既存（きぞん）,已有,Existing,Lesson 31
詳細設計（しょうさいせっけい）,详细设计,Detailed Design,Lesson 31
工程（こうてい）,工程,Process,Lesson 31
